timestamp,open,high,low,close,adjusted close,volume,dividend amount
2012-08-24,200.6900,201.1300,194.2000,197.7700,127.2825,14140300,0.0000
2012-08-17,198.8800,202.0000,197.7200,201.2200,129.5029,12373700,0.0000
2012-08-10,198.7600,200.8800,197.2400,199.2900,128.2608,12376100,0.8500
2012-08-03,196.3200,198.9500,193.0200,198.5200,127.2219,14944000,0.0000
2012-07-27,189.7800,197.4100,188.2000,196.3900,125.8569,18795600,0.0000
2012-07-20,185.5800,196.8500,183.2000,192.4500,123.3319,31507600,0.0000
2012-07-13,190.7600,191.1400,181.8500,186.0100,119.2048,22998800,0.0000
2012-07-06,196.3600,197.2000,189.7400,191.4100,122.6654,11920500,0.0000
2012-06-29,192.4800,195.8100,188.9000,195.5800,125.3378,18637100,0.0000
2012-06-22,197.5700,199.9900,193.1900,193.7000,124.1330,23194300,0.0000
2012-06-15,196.6000,199.2700,192.1400,199.1000,127.5936,19518700,0.0000
2012-06-08,188.3400,195.8299,187.0000,195.1400,125.0558,18002600,0.0000
2012-06-01,195.2200,198.0800,188.6000,189.0800,121.1722,21714900,0.0000
2012-05-25,195.9800,198.2600,193.2000,194.3000,124.5175,17970000,0.0000
2012-05-18,199.9200,201.4679,195.1600,195.8800,125.5300,22381000,0.0000
2012-05-11,203.9600,204.7700,199.0600,201.1700,128.9201,17219400,0.8500
2012-05-04,206.7100,208.9290,204.4000,204.9900,130.8163,14699600,0.0000
2012-04-27,197.8900,208.1700,196.7910,206.8100,131.9778,20048100,0.0000
2012-04-20,204.7400,207.6400,197.5210,199.6000,127.3766,30566700,0.0000
2012-04-13,204.4000,206.1700,202.1700,202.8000,129.4187,17522600,0.0000
2012-04-05,208.9600,210.6900,204.4600,205.4700,131.1226,15692400,0.0000
2012-03-30,206.4500,209.1200,206.0200,208.6500,133.1520,16007300,0.0000
2012-03-23,205.7100,206.5300,203.7020,205.4800,131.1290,17132200,0.0000
2012-03-16,200.9300,207.5200,200.2300,206.0100,131.4672,25846100,0.0000
2012-03-09,198.3600,201.1900,196.8120,200.6200,128.0275,21823600,0.0000
2012-03-02,196.7800,199.1700,196.1000,198.8100,126.8725,19330600,0.0000
2012-02-24,193.7300,199.2300,192.4600,197.7600,126.2024,17955300,0.0000
2012-02-17,193.3100,193.8600,190.8310,193.4200,123.4328,17149800,0.0000
2012-02-10,192.4800,194.4600,191.2800,192.4200,122.7946,18144100,0.7500
2012-02-03,189.3900,194.8100,188.2200,193.6400,123.0947,22703600,0.0000
2012-01-27,187.9100,192.7900,187.6700,190.4600,121.0732,22822200,0.0000
2012-01-20,180.3600,188.9700,179.3200,188.5200,119.8400,32020900,0.0000
2012-01-13,182.2000,183.7200,177.3472,179.1600,113.8900,26633200,0.0000
2012-01-06,186.7300,188.7100,182.3100,182.5400,116.0386,19352900,0.0000
2011-12-30,184.9700,186.4800,183.3400,183.8800,116.8904,12119700,0.0000
2011-12-23,184.5100,187.3300,179.0400,184.7500,117.4435,27166800,0.0000
2011-12-16,193.6400,194.3000,181.9100,183.5700,116.6933,30186100,0.0000
2011-12-09,191.1800,194.9000,190.3200,194.5600,123.6796,24142900,0.0000
2011-12-02,182.7100,191.3300,180.6700,189.6600,120.5647,25843600,0.0000
2011-11-25,183.3700,183.9600,177.0600,177.0600,112.5550,16357400,0.0000
2011-11-18,189.1700,189.9700,183.3900,185.2400,117.7549,25522100,0.0000
2011-11-11,186.2200,187.8800,181.1600,187.3800,119.1153,20903100,0.7500
